Year,ID,Name,Ideal.point
1954,USA,United States of America,1.482
1955,USA,United States of America,1.719
1956,USA,United States of America,1.285
1957,USA,United States of America,1.247
1958,USA,United States of America,1.266
1959,USA,United States of America,1.547
1960,USA,United States of America,1.532
1961,USA,United States of America,1.698
1962,USA,United States of America,1.889
1963,USA,United States of America,1.852
1965,USA,United States of America,2.011
1966,USA,United States of America,2.069
1967,USA,United States of America,2.259
1968,USA,United States of America,2.213
1969,USA,United States of America,2.093
1970,USA,United States of America,2.132
1971,USA,United States of America,1.805
1972,USA,United States of America,2.04
1973,USA,United States of America,2.209
1974,USA,United States of America,2.031
1975,USA,United States of America,2.145
1976,USA,United States of America,2.393
1977,USA,United States of America,2.206
1978,USA,United States of America,2.228
1979,USA,United States of America,2.277
1980,USA,United States of America,2.318
1981,USA,United States of America,2.658
1982,USA,United States of America,2.568
1983,USA,United States of America,2.592
1984,USA,United States of America,2.737
1985,USA,United States of America,2.742
1986,USA,United States of America,2.851
1987,USA,United States of America,2.927
1988,USA,United States of America,2.902
1989,USA,United States of America,2.962
1990,USA,United States of America,2.893
1991,USA,United States of America,2.754
1992,USA,United States of America,2.766
1993,USA,United States of America,2.734
1994,USA,United States of America,2.688
1995,USA,United States of America,2.939
1996,USA,United States of America,3.014
1997,USA,United States of America,2.923
1998,USA,United States of America,2.854
1999,USA,United States of America,2.678
2000,USA,United States of America,2.611
2001,USA,United States of America,2.576
2002,USA,United States of America,2.628
2003,USA,United States of America,2.796
2004,USA,United States of America,2.771
2005,USA,United States of America,2.894
2006,USA,United States of America,2.879
2007,USA,United States of America,2.771
2008,USA,United States of America,2.752
2009,USA,United States of America,2.564
2010,USA,United States of America,2.519
2011,USA,United States of America,2.522
2012,USA,United States of America,2.681
1946,CAN,Canada,1.849
1947,CAN,Canada,1.987
1948,CAN,Canada,1.911
1949,CAN,Canada,1.672
1950,CAN,Canada,1.812
1951,CAN,Canada,1.916
1952,CAN,Canada,1.989
1953,CAN,Canada,1.745
1954,CAN,Canada,1.746
1955,CAN,Canada,1.714
1956,CAN,Canada,1.554
1957,CAN,Canada,1.608
1958,CAN,Canada,1.579
1959,CAN,Canada,1.096
1960,CAN,Canada,1.106
1961,CAN,Canada,1.467
1962,CAN,Canada,1.555
1963,CAN,Canada,1.61
1965,CAN,Canada,1.685
1966,CAN,Canada,1.774
1967,CAN,Canada,1.769
1968,CAN,Canada,1.577
1969,CAN,Canada,1.615
1970,CAN,Canada,1.577
1971,CAN,Canada,1.391
1972,CAN,Canada,1.549
1973,CAN,Canada,1.479
1974,CAN,Canada,1.471
1975,CAN,Canada,1.457
1976,CAN,Canada,1.501
1977,CAN,Canada,1.687
1978,CAN,Canada,1.768
1979,CAN,Canada,1.81
1980,CAN,Canada,1.824
1981,CAN,Canada,1.773
1982,CAN,Canada,1.656
1983,CAN,Canada,1.658
1984,CAN,Canada,1.703
1985,CAN,Canada,1.645
1986,CAN,Canada,1.555
1987,CAN,Canada,1.546
1988,CAN,Canada,1.403
1989,CAN,Canada,1.356
1990,CAN,Canada,1.286
1991,CAN,Canada,1.271
1992,CAN,Canada,1.234
1993,CAN,Canada,1.138
1994,CAN,Canada,1.145
1995,CAN,Canada,1.106
1996,CAN,Canada,1.196
1997,CAN,Canada,1.116
1998,CAN,Canada,1.178
1999,CAN,Canada,1.173
2000,CAN,Canada,1.112
2001,CAN,Canada,1.184
2002,CAN,Canada,1.129
2003,CAN,Canada,1.127
2004,CAN,Canada,1.236
2005,CAN,Canada,1.264
2006,CAN,Canada,1.412
2007,CAN,Canada,1.56
2008,CAN,Canada,1.611
2009,CAN,Canada,1.582
2010,CAN,Canada,1.529
2011,CAN,Canada,1.856
2012,CAN,Canada,2.059
